iter	Passed	Remaining
975	125446	2445175
976	125574	2445030
977	125703	2444924
978	125840	2444952
979	125963	2444716
980	126099	2444734
981	126225	2444563
982	126345	2444270
983	126490	2444448
984	126643	2444806
985	126780	2444826
986	126942	2445343
987	127102	2445814
988	127236	2445795
989	127392	2446202
990	127539	2446419
991	127671	2446346
992	127808	2446386
993	127970	2446890
994	128125	2447254
995	128264	2447323
996	128407	2447476
997	128560	2447806
998	128697	2447833
999	128850	2448158
1000	129022	2448845
1001	129166	2448998
1002	129303	2449040
1003	129432	2448910
1004	129569	2448922
1005	129706	2448950
1006	129847	2449048
1007	130003	2449436
1008	130139	2449432
1009	130300	2449900
1010	130444	2450055
1011	130582	2450099
1012	130726	2450258
1013	130869	2450384
1014	131008	2450435
1015	131171	2450938
1016	131303	2450877
1017	131424	2450590
1018	131550	2450401
1019	131671	2450123
1020	131807	2450119
1021	131943	2450122
1022	132048	2449550
1023	132165	2449190
1024	132289	2448976
1025	132411	2448703
1026	132518	2448164
1027	132646	2448032
1028	132766	2447721
1029	132889	2447494
1030	133025	2447482
1031	133146	2447219
1032	133262	2446836
1033	133374	2446411
1034	133487	2445987
1035	133588	2445349
1036	133731	2445459
1037	133859	2445314
1038	133971	2444891
1039	134079	2444367
1040	134187	2443854
1041	134317	2443749
1042	134437	2443460
1043	134571	2443425
1044	134703	2443349
1045	134834	2443259
1046	134954	2442978
1047	135069	2442589
1048	135191	2442342
1049	135302	2441894
1050	135432	2441777
1051	135554	2441524
1052	135674	2441237
1053	135796	2440981
1054	135906	2440528
1055	135999	2439747
1056	136119	2439463
1057	136218	2438796
1058	136329	2438360
1059	136437	2437858
1060	136564	2437698
1061	136684	2437407
1062	136818	2437376
1063	136931	2436972
1064	137022	2436161
1065	137157	2436147
1066	137271	2435764
1067	137380	2435292
1068	137518	2435326
1069	137631	2434918
1070	137751	2434630
1071	137886	2434626
1072	138004	2434305
1073	138115	2433867
1074	138215	2433234
1075	138324	2432760
1076	138463	2432809
1077	138593	2432711
1078	138715	2432475
1079	138858	2432598
1080	138990	2432527
1081	139117	2432362
1082	139247	2432260
1083	139371	2432065
1084	139476	2431526
1085	139602	2431349
1086	139736	2431318
1087	139870	2431285
1088	140003	2431233
1089	140137	2431195
1090	140249	2430774
1091	140363	2430391
1092	140482	2430108
1093	140619	2430120
1094	140737	2429811
1095	140860	2429581
1096	140982	2429348
1097	141088	2428827
1098	141198	2428379
1099	141335	2428399
1100	141462	2428255
1101	141579	2427928
1102	141702	2427702
1103	141837	2427675
1104	141973	2427678
1105	142126	2427981
1106	142269	2428087
1107	142377	2427612
1108	142499	2427377
1109	142611	2426972
1110	142761	2427194
1111	142902	2427282
1112	143065	2427742
1113	143196	2427661
1114	143304	2427187
1115	143453	2427403
1116	143578	2427209
1117	143720	2427315
1118	143833	2426923
1119	143942	2426462
1120	144064	2426225
1121	144182	2425913
1122	144306	2425711
1123	144417	2425283
1124	144528	2424860
1125	144651	2424647
1126	144782	2424556
1127	144884	2423991
1128	145024	2424059
1129	145149	2423873
1130	145264	2423518
1131	145390	2423349
1132	145515	2423152
1133	145637	2422918
1134	145743	2422426
1135	145900	2422777
1136	146012	2422370
1137	146121	2421926
1138	146251	2421820
1139	146383	2421743
1140	146503	2421480
1141	146634	2421388
1142	146745	2420975
1143	146851	2420490
1144	147003	2420740
1145	147122	2420453
1146	147236	2420089
1147	147339	2419545
1148	147455	2419216
1149	147578	2419002
1150	147719	2419076
1151	147843	2418878
1152	147960	2418563
1153	148076	2418244
1154	148206	2418132
1155	148322	2417808
1156	148416	2417117
1157	148550	2417094
1158	148680	2416990
1159	148792	2416592
1160	148914	2416364
1161	149041	2416213
1162	149152	2415815
1163	149267	2415468
1164	149366	2414870
1165	149468	2414315
1166	149589	2414067
1167	149693	2413555
1168	149814	2413304
1169	149940	2413140
1170	150074	2413109
1171	150208	2413081
1172	150327	2412806
1173	150454	2412649
1174	150567	2412279
1175	150683	2411966
1176	150799	2411632
1177	150936	2411648
1178	151054	2411355
1179	151159	2410865
1180	151274	2410521
1181	151395	2410294
1182	151506	2409889
1183	151648	2409976
1184	151764	2409657
1185	151885	2409414
1186	152004	2409145
1187	152121	2408841
1188	152240	2408582
1189	152348	2408124
1190	152467	2407864
1191	152585	2407570
1192	152690	2407091
1193	152816	2406922
1194	152937	2406682
1195	153070	2406641
1196	153177	2406185
1197	153301	2405993
1198	153435	2405958
1199	153576	2406037
1200	153693	2405738
1201	153815	2405513
1202	153918	2404994
1203	154026	2404554
1204	154146	2404299
1205	154254	2403859
1206	154368	2403515
1207	154497	2403408
1208	154619	2403189
1209	154737	2402905
1210	154848	2402515
1211	154986	2402544
1212	155115	2402436
1213	155227	2402058
1214	155342	2401735
1215	155465	2401534
1216	155592	2401386
1217	155702	2400990
1218	155842	2401044
1219	155997	2401343
1220	156122	2401168
1221	156270	2401348
1222	156418	2401530
1223	156561	2401637
1224	156704	2401732
1225	156868	2402158
1226	157011	2402267
1227	157168	2402579
1228	157345	2403196
1229	157496	2403420
1230	157637	2403486
1231	157766	2403374
1232	157925	2403726
1233	158068	2403821
1234	158198	2403716
1235	158337	2403757
1236	158493	2404058
1237	158684	2404883
1238	158856	2405417
1239	159003	2405573
1240	159147	2405674
1241	159296	2405867
1242	159431	2405842
1243	159588	2406137
